PID;Produktionsnummer;BVNr.;HST;Signatur;MARC 773 $g;Sortierdatum;Datumsangabe MARC 260 $c;Creationdate
1385080;ubr02230;VHVO 91;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 91 (1950);50/NA 8785-91;vol.91 (1950);1950;1950;25.05.2010
785606;ubr00712;VHVO 92;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 92 (1951);00/NA 8784-92;vol.92 (1951);1951;1951;08.02.2010
1355091;ubr02234;VHVO 93;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 93 (1952);00/NA 8784-93;vol.93 (1952);1952;1952;19.05.2010
1076871;ubr01818;VHVO 94;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 94 (1953);00/NA 8784-94;vol.94 (1953);1953;1953;12.04.2010
1352139;ubr02233;VHVO 95;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 95 (1954);50/NA 8785-95;vol.95 (1954);1954;1954;19.05.2010
1347451;ubr02232;VHVO 96;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 96 (1955);50/NA 8785-96;vol.96 (1955);1955;1955;19.05.2010
787738;ubr01807;VHVO 97;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 97 (1956);00/NA 8784-97;vol.97 (1956);1956;1956;08.02.2010
1383291;ubr02229;VHVO 98;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 98 (1957);50/NA 8785-98;vol.98 (1957);1957;1957;25.05.2010
789954;ubr01808;VHVO 99;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 99 (1958);50/NA 8785-99;vol.99 (1958);1958;1958;08.02.2010
1073555;ubr01812;VHVO 100;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 100 (1959);50/NA 8785-100;vol.100 (1959);1959;1959;12.04.2010
1071843;ubr01811;VHVO 101;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 101 (1961);00/NA 8784-101;vol.101 (1961);1961;1961;12.04.2010
906452;ubr01810;VHVO 102;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 102 (1962);00/NA 8784-102;vol.102 (1962);1962;1962;02.03.2010
899191;ubr01809;VHVO 103;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 103 (1963);50/NA 8785-103;vol.103 (1963);1963;1963;01.03.2010
1075285;ubr01817;VHVO 104;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 104 (1964);50/NA 8785-104;vol.104 (1964);1964;1964;12.04.2010
965997;ubr00008;VHVO 105;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 105 (1965);00/NA 8784-105;vol.105 (1965);1965;1965;18.03.2010
1190363;ubr01821;VHVO 106;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 106 (1966);50/NA 8785-106;vol.106 (1966);1966;1966;30.04.2010
1070122;ubr00009;VHVO 107;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 107 (1967);00/NA 8784-107;vol.107 (1967);1967;1967;12.04.2010
967733;ubr00016;VHVO 109;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 109 (1969);50/NA 8785-109;vol.109 (1969);1969;1969;18.03.2010
1323108;ubr01908;VHVO 110;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 110 (1970);50/NA 8785-110;vol.110 (1970);1970;1970;18.05.2010
1340379;ubr00015;VHVO 108;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 108 (1970) Register zu Band 91-100;00/NA 8784-108;vol.108 (1970);1970;1970;19.05.2010
